25		
0	0	0.0000
6469	576.9631	473.1097
7629	946.4954	984.3552
20036	597.5972	597.5972
4690	373.8127	385.0271
6194	559.7673	593.3533
11688	709.0215	574.3074
2243	1208.328	1123.7450
8857	603.6477	597.6112
7248	695.208	716.0642
3559	680.709	667.0948
9221	1936.572	2149.5949
10099	332.4644	379.0094
22866	592.5679	675.5274
3388	908.7715	799.7189
9986	426.1877	349.4739
46618	756.1987	824.2566
11639	672.5906	652.4129
1380	1590.224	1415.2994
5261	527.3008	632.7610
5985	483.4673	507.6407
6731	2140.978	1819.8313
2704	2184.402	2599.4384
12250	408.1648	420.4097
16132	540.7388	627.2570
6469	576.9631	651.9683
0	0	0.0000
12999	369.5327	332.5794
13692	613.0386	643.6905
3322	429.1079	493.4741
5576	312.8831	319.1408
3878	1196.489	1017.0157
3202	1502.14	1291.8404
6699	405.8975	422.1334
4198	1241.961	1341.3179
2454	960.3459	883.5182
7975	2318.076	1924.0031
1186	786.5959	755.1321
7443	949.5669	911.5842
1162	938.7461	901.1963
5105	999.5005	1189.4056
24817	179.2426	148.7714
6532	96.2744	91.4607
806	1999.584	1899.6048
8184	210.7656	181.2584
3896	736.3755	780.5580
7333	2456.263	2824.7025
3719	2339.509	2479.8795
2015	844.1663	827.2830
565	36.4947	43.4287
7629	946.4954	1088.4697
12999	369.5327	369.5327
0	0	0.0000
35135	858.3308	755.3311
5956	749.6018	629.6655
14121	556.0706	606.1170
5951	1541.273	1787.8767
5768	1764.791	1888.3264
16578	621.3306	590.2641
4242	1603.165	1298.5637
3365	1250.962	1338.5293
22254	2600.078	2236.0671
1841	1137.335	978.1081
23665	1266.851	1482.2157
6517	1124.778	1091.0347
3541	1368.267	1436.6804
205088	190.3157	196.0252
37669	274.3105	309.9709
2885	2299.429	2529.3719
13200	494.2224	509.0491
7116	1043.484	1074.7885
17165	2703.402	2216.7896
4284	2503.828	2178.3304
8085	1188.549	1010.2667
51895	405.7886	413.9044
20036	597.5972	496.0057
13692	613.0386	582.3867
35135	858.3308	866.9141
0	0	0.0000
19094	255.0303	249.9297
35119	311.3071	286.4025
21423	790.1213	892.8371
27342	907.4331	735.0208
51341	237.0703	234.6996
15826	932.2173	997.4725
28537	406.3386	479.4795
65387	1741.873	1881.2228
12980	485.5564	446.7119
44097	1186.858	985.0921
51525	345.8738	404.6723
14354	830.3635	805.4526
172895	720.4687	634.0125
37305	675.3437	722.6178
15418	1447.104	1490.5171
26221	403.8657	464.4456
42303	255.8823	301.9411
35303	1853.617	1742.4000
13618	1733.132	1993.1018
